Message num,Action,send,recived,RXPower,FPPower
9078,POLL,873917078528,173578938170,-89.5,-93.04
9078,POLL_ACK,174651720704,874989956937,-89.04,-92.23
9078,RANGE,879635844608,179297579323,-89.67,-92.64
9079,POLL,881968438784,181630122549,-89.82,-92.68
9079,POLL_ACK,182702943744,883041355855,-89.4,-92.52
9079,RANGE,887688270336,187349829159,-89.68,-93.47
9080,POLL,890020220416,189681728308,-89.58,-92.39
9080,POLL_ACK,190754665984,891093254001,-89.56,-93.53
9080,RANGE,895739924992,195401307909,-90.13,-93.04
9081,POLL,898071298048,197732630033,-90.14,-92.86
9081,POLL_ACK,198805000192,899143764078,-89.48,-92.04
9081,RANGE,903790508032,203451715057,-89.38,-92.15
9082,POLL,914174052864,213835033008,-88.85,-92.88
9082,POLL_ACK,214906155520,915245271209,-88.72,-93.12
9082,RANGE,919891586048,219552441257,-89.23,-92.74
9083,POLL,922225517056,221886321284,-89.69,-93.25
9083,POLL_ACK,222963059712,923302351459,-89.07,-92.83
9083,RANGE,927944786432,227605465686,-89.77,-93.32
9084,POLL,930276923392,229937551685,-89.86,-93.14
9084,POLL_ACK,231011009536,931350477148,-89.36,-92.64
9084,RANGE,935996984320,235657487605,-90.07,-92.97
9085,POLL,938328329728,237988782058,-89.31,-92.58
9085,POLL_ACK,239060813312,939400456838,-89.04,-93.02
9085,RANGE,944046903808,243707231145,-88.78,-92.7
9086,POLL,946379689984,246039966356,-88.52,-92.78
9086,POLL_ACK,247112883712,947452703219,-88.27,-93.1
9086,RANGE,952099253760,251759405116,-88.17,-93.12
9087,POLL,954431533568,254091633966,-88.5,-93.3
9087,POLL_ACK,255165109760,955505105282,-88.26,-92.99
9087,RANGE,960150429184,259810404583,-89.13,-92.89
9088,POLL,962482940416,262142864843,-89.0,-92.93
9088,POLL_ACK,263216150528,963556322005,-88.71,-92.99
9088,RANGE,968201771520,267861570923,-89.36,-93.52
9089,POLL,970534284288,270194032681,-89.59,-93.21
9089,POLL_ACK,271266066944,971606414428,-88.93,-92.79
9089,RANGE,976252393984,275912017348,-89.73,-92.75
