Message num,Action,send,recived,RXPower,FPPower
16886,POLL,1093833244160,392034486270,-87.45,-93.22
16886,POLL_ACK,393106574336,1094905436644,-87.06,-93.89
16886,RANGE,41269248,397754011980,-87.41,-93.45
16887,POLL,2373022720,400085713609,-87.49,-93.65
16887,POLL_ACK,401158912000,3446325531,-87.08,-93.05
16887,RANGE,8093131776,405805695498,-87.92,-93.43
16888,POLL,10424429568,408136941473,-88.21,-93.9
16888,POLL_ACK,409209594368,11497186892,-88.08,-93.11
16888,RANGE,16143716352,413856101102,-88.29,-93.63
16889,POLL,18475835904,416188168811,-88.57,-93.89
16889,POLL_ACK,417260796416,19548567951,-88.07,-92.92
16889,RANGE,24195943936,421908149662,-88.96,-93.4
16890,POLL,26527242240,424239396121,-88.74,-93.84
16890,POLL_ACK,425311942656,27599893203,-88.38,-93.37
16890,RANGE,32247156224,429959182903,-88.86,-94.15
16891,POLL,34578977792,432290952603,-88.86,-93.87
16891,POLL_ACK,433362648576,35650778170,-88.53,-93.68
16891,RANGE,40301614592,438013462113,-89.51,-94.4
16892,POLL,42630370304,440342166030,-89.09,-93.9
16892,POLL_ACK,441414824448,43703133161,-88.43,-93.49
16892,RANGE,48350543360,446062211861,-89.23,-94.23
16893,POLL,50681461760,448393078428,-89.11,-93.72
16893,POLL_ACK,449465597440,51754085221,-88.52,-93.43
16893,RANGE,56401331200,454112820610,-89.29,-94.02
16894,POLL,58732810752,456444248289,-88.75,-94.46
16894,POLL_ACK,457516683776,59805350681,-88.42,-94.15
16894,RANGE,64452078592,462163388857,-89.42,-93.8
16895,POLL,66784228864,464495487236,-89.23,-94.59
16895,POLL_ACK,465567522304,67856368383,-88.77,-93.41
16895,RANGE,72504328704,470215459769,-89.37,-94.32
16896,POLL,74835681792,472546760975,-89.04,-93.95
16896,POLL_ACK,473619685888,75908711164,-89.03,-94.52
16896,RANGE,80555786240,478266738113,-89.51,-95.21
16897,POLL,82887042048,480597942066,-89.2,-94.4
16897,POLL_ACK,481670784000,83959988440,-88.8,-93.73
16897,RANGE,88606930432,486317703187,-89.29,-94.22
16898,POLL,90938886144,488649607015,-89.29,-94.98
16898,POLL_ACK,489722297856,92011681440,-88.74,-94.69
16898,RANGE,96659105792,494369699382,-89.46,-94.85
16899,POLL,98989854720,496700396470,-89.81,-94.84
16899,POLL_ACK,497772748288,100062310995,-89.08,-94.43
16899,RANGE,104708789760,502419204238,-89.57,-94.55
16900,POLL,107041629696,504751992265,-89.25,-95.33
16900,POLL_ACK,505824552448,108114294327,-88.28,-94.34
16900,RANGE,112761341440,510471576723,-88.36,-94.41
16901,POLL,123144120832,520854125124,-88.05,-94.33
16901,POLL_ACK,521925491712,124215591855,-87.23,-94.72
16901,RANGE,128862513152,526572390218,-88.48,-94.02
16902,POLL,131195481088,528905306244,-88.85,-94.11
16902,POLL_ACK,529978247168,132268526471,-88.22,-94.15
16902,RANGE,136915435520,534625133408,-89.02,-94.65
16903,POLL,139246887424,536956533430,-88.83,-93.52
16903,POLL_ACK,538028952064,140319410501,-88.78,-93.09
16903,RANGE,144967171072,542676689777,-88.55,-93.56
16904,POLL,147298293760,545007760601,-88.21,-93.51
16904,POLL_ACK,546080503296,148371140899,-87.9,-93.78
16904,RANGE,153018113536,550727453099,-87.24,-93.19
16905,POLL,155349746688,553059034387,-87.68,-94.05
16905,POLL_ACK,554131841024,156422657776,-87.0,-93.68
16905,RANGE,161069670400,558778830804,-87.52,-93.16
16906,POLL,163401482240,561110590746,-86.81,-92.96
16906,POLL_ACK,562182600704,164473596628,-86.07,-92.29
16906,RANGE,169120378880,566829360143,-88.47,-92.48
16907,POLL,171452951040,569161880380,-88.55,-92.61
16907,POLL_ACK,570234637824,172525812931,-88.24,-93.24
16907,RANGE,177172593664,574881395717,-88.0,-92.98
16908,POLL,179503966208,577212716380,-87.93,-92.72
16908,POLL_ACK,578285469696,180576823972,-87.52,-92.22
