Message num,Action,send,recived,RXPower,FPPower
19414,POLL,504239041024,901473346953,-89.07,-93.84
19414,POLL_ACK,902545518592,505311319756,-88.51,-92.69
19414,RANGE,509959140864,907193319720,-88.99,-93.38
19415,POLL,512290823168,909524950221,-89.26,-93.15
19415,POLL_ACK,910596870656,513362850683,-88.67,-93.32
19415,RANGE,518009772032,915243772039,-88.96,-93.22
19416,POLL,520341854208,917575802391,-89.1,-93.37
19416,POLL_ACK,918648214528,521414373442,-88.47,-93.3
19416,RANGE,526061187072,923295008205,-88.96,-93.51
19417,POLL,536444666880,933678257313,-88.83,-93.2
19417,POLL_ACK,934749875712,537516392357,-88.61,-92.85
19417,RANGE,542162247680,939395711104,-88.98,-93.6
19418,POLL,544496062464,941729474042,-88.97,-93.32
19418,POLL_ACK,942803632128,545570327684,-88.61,-92.94
19418,RANGE,550215200256,947448484786,-89.04,-93.55
19419,POLL,552547468800,949780701502,-88.97,-93.48
19419,POLL_ACK,950853511168,553620385569,-88.53,-93.29
19419,RANGE,558266620928,955499726557,-88.83,-93.27
19420,POLL,560598932992,957831986804,-89.1,-93.29
19420,POLL_ACK,958904922624,561671975916,-88.74,-92.8
19420,RANGE,566318574080,963551500801,-88.95,-93.42
19421,POLL,568650339840,965883214747,-89.24,-93.28
19421,POLL_ACK,966956201472,569723433669,-88.65,-93.51
19421,RANGE,574370248192,971602995991,-88.9,-93.39
19422,POLL,576701688832,973934384829,-88.97,-93.42
19422,POLL_ACK,975007349760,577774760865,-88.66,-93.2
19422,RANGE,582421024256,979653593168,-89.16,-94.16
19423,POLL,584753106432,981985623513,-89.14,-93.25
19423,POLL_ACK,983058309120,585825899155,-88.48,-92.88
19423,RANGE,590472429568,987704819556,-89.3,-93.22
19424,POLL,592804888576,990037226713,-89.16,-93.28
19424,POLL_ACK,991109149184,593876918153,-88.49,-93.08
19424,RANGE,598524607488,995756818491,-89.06,-93.65
19425,POLL,600856030720,998088189906,-89.16,-93.96
19425,POLL_ACK,999161436672,601929384625,-88.53,-93.09
19425,RANGE,606575739392,1003807771443,-89.1,-93.32
19426,POLL,608907372544,1006139352787,-88.95,-93.69
19426,POLL_ACK,1007212596736,609980723616,-88.52,-92.86
19426,RANGE,614626573312,1011858426453,-88.92,-93.26
19427,POLL,616958722048,1014190523340,-89.04,-93.65
19427,POLL_ACK,1015263497728,618031803544,-88.51,-93.07
19427,RANGE,622677594112,1019909268309,-89.01,-93.6
19428,POLL,625010514944,1022242137298,-89.27,-93.22
19428,POLL_ACK,1023315032064,626083516819,-88.6,-93.26
19428,RANGE,630729480192,1027960975450,-88.9,-93.39
19429,POLL,633061921792,1030293365204,-88.97,-93.57
19429,POLL_ACK,1031366108672,634134772373,-88.51,-93.01
19429,RANGE,638781457408,1036012773728,-89.08,-93.6
19430,POLL,641113328128,1038344592625,-89.19,-93.82
