Message num,Action,send,recived,RXPower,FPPower
25655,POLL,661155223552,1018637463296,-92.43,-105.4
25655,POLL_ACK,1019707846656,662225697893,-92.45,-105.35
25655,RANGE,666872609792,1024354847266,-91.12,-99.6
25656,POLL,669206611456,1026688847994,-91.76,-104.74
25656,POLL_ACK,1027761537536,670279392018,-90.79,-102.65
25656,RANGE,674926713344,1032408947623,-91.73,-100.97
25657,POLL,677258017280,1034740250623,-91.88,-105.52
25657,POLL_ACK,1035812974592,678330832260,-90.96,-102.42
25657,RANGE,682977310720,1040459541816,-92.24,-105.42
25658,POLL,685309752320,1042791982425,-91.53,-100.19
25658,POLL_ACK,1043864750592,686382611515,-91.83,-105.22
25658,RANGE,691028684800,1048510912574,-91.57,-101.48
25659,POLL,701412544512,1058894768087,-91.66,-101.88
25659,POLL_ACK,1059964782080,702482649492,-91.74,-100.98
25659,RANGE,707129520128,1064611741462,-92.31,-104.39
25660,POLL,709464031744,1066946252082,-92.26,-99.18
25660,POLL_ACK,1068018760192,710536630901,-92.38,-102.88
25660,RANGE,715183739904,1072665957980,-92.43,-102.1
25661,POLL,717514999808,1074997216914,-91.98,-105.39
25661,POLL_ACK,1076069646848,718587520754,-91.41,-101.39
25661,RANGE,723233680896,1080715895717,-91.56,-103.63
25662,POLL,733617811456,1091100022033,-91.25,-105.4
25662,POLL_ACK,1092170478080,734688358473,-90.57,-102.64
25662,RANGE,739335207424,1096817415771,-90.6,-99.18
25663,POLL,741669206016,1099151413358,-91.44,-103.59
25663,POLL_ACK,712775168,742742286615,-90.72,-102.86
25663,RANGE,747389296640,5359873973,-91.13,-100.64
25664,POLL,749720669184,7691245515,-91.71,-99.3
25664,POLL_ACK,8764089344,750793604032,-91.29,-101.2
25664,RANGE,755439826944,13410400978,-91.57,-105.73
25665,POLL,757772404224,15742977305,-91.94,-102.22
25665,POLL_ACK,16816393216,758845911167,-91.46,-105.89
25665,RANGE,763492127744,21462698458,-91.8,-104.39
25666,POLL,765823872000,23794441709,-91.86,-105.12
25666,POLL_ACK,24867085824,766896607120,-91.08,-103.33
25666,RANGE,771543662080,29514229463,-91.79,-103.14
25667,POLL,773874840064,31845406529,-91.54,-105.28
25667,POLL_ACK,32917981184,774947505744,-91.02,-102.74
25667,RANGE,779594981376,37565545564,-91.69,-100.97
25668,POLL,781926683648,39897246754,-93.01,-104.02
25668,POLL_ACK,40969948672,782999476656,-91.03,-100.43
25668,RANGE,787645571072,45616131465,-92.0,-101.22
25669,POLL,789977697280,47948256656,-91.28,-105.44
25669,POLL_ACK,49021519360,791051051017,-91.16,-101.86
25669,RANGE,795697943040,53668500047,-92.19,-102.07
25670,POLL,798029057536,55999613462,-95.04,-109.16
25670,POLL_ACK,57072457216,799101992378,-90.95,-102.03
25670,RANGE,803749004800,61719558231,-91.59,-102.57
25671,POLL,806080452608,64051005089,-91.54,-102.88
25671,POLL_ACK,65123851776,807153390310,-91.07,-103.16
25671,RANGE,811800548352,69771098534,-91.35,-99.9
25672,POLL,854389274112,112359807529,-91.54,-102.68
25672,POLL_ACK,113430085632,855459643226,-91.05,-103.2
25672,RANGE,860106493952,118077025131,-91.63,-105.45
25673,POLL,862440350720,120410880880,-90.8,-101.25
25673,POLL_ACK,121483765248,863513326192,-91.18,-104.5
25673,RANGE,868160125952,126130653549,-91.4,-106.26
25674,POLL,870491709952,128462236573,-91.1,-103.45
25674,POLL_ACK,129534509568,871564073963,-90.45,-103.54
25674,RANGE,876211811840,134182336155,-90.92,-101.76
25675,POLL,878543162368,136513685747,-91.34,-104.34
25675,POLL_ACK,137586421248,879615988873,-90.78,-102.47
25675,RANGE,884263279104,142233800223,-91.11,-103.16
25676,POLL,886594896896,144565417087,-90.86,-104.15
25676,POLL_ACK,145638329856,887667900673,-89.86,-102.15
25676,RANGE,892313350144,150283868126,-90.77,-103.21
25677,POLL,894646302720,152616819587,-94.22,-110.26
25677,POLL_ACK,153692263424,895721837588,-90.6,-101.05
25677,RANGE,900367872000,158338386479,-91.02,-101.92
25678,POLL,902697379328,160667892774,-96.58,-106.34
25678,POLL_ACK,161739896832,903769474411,-90.58,-101.25
25678,RANGE,908416609280,166387120279,-91.61,-103.95
25679,POLL,910749114368,168719624346,-91.37,-105.05
25679,POLL_ACK,169792518144,911822099187,-91.12,-100.79
25679,RANGE,916468887040,174439394780,-91.44,-98.61
25680,POLL,918800190976,176770697754,-92.06,-104.53
25680,POLL_ACK,177843063296,919872647511,-91.45,-102.53
25680,RANGE,924520543744,182491048328,-91.93,-105.67
25681,POLL,926851550208,184822053750,-91.66,-101.23
25681,POLL_ACK,185894540288,927924127766,-91.02,-103.38
25681,RANGE,932571438592,190541939866,-92.5,-102.75
25682,POLL,934903393792,192873894057,-92.86,-100.3
25682,POLL_ACK,193946437120,935976027894,-91.99,-104.27
25682,RANGE,940622674944,198593172888,-92.71,-103.9
25683,POLL,951005814272,208976308212,-92.39,-103.47
25683,POLL_ACK,210046445568,952076042627,-92.3,-100.32
25683,RANGE,956722853888,214693345678,-92.11,-104.56
25684,POLL,959057220096,217027710821,-93.5,-105.43
25684,POLL_ACK,218100523520,960130123902,-91.36,-104.02
25684,RANGE,964777066496,222747554876,-91.71,-101.83
25685,POLL,967108954624,225079441963,-92.23,-104.12
25685,POLL_ACK,226152274432,968181878134,-91.34,-100.93
25685,RANGE,972827707392,230798192422,-91.91,-103.43
25686,POLL,975159985152,233130469139,-94.55,-107.44
25686,POLL_ACK,234203264000,976232871029,-90.51,-100.98
25686,RANGE,980880087040,238850568766,-91.8,-100.78
25687,POLL,991262842880,249233320518,-91.69,-102.98
25687,POLL_ACK,250304544768,992334158130,-91.28,-101.19
25687,RANGE,996980522496,254950998000,-91.8,-103.74
25688,POLL,999314248704,257284723168,-92.99,-105.14
25688,POLL_ACK,258357887488,1000387504042,-90.76,-100.2
25688,RANGE,1005034176512,263004648711,-91.33,-104.83
25689,POLL,1007365597184,265336068429,-92.12,-101.51
25689,POLL_ACK,266408487424,1008438107174,-90.96,-101.94
25689,RANGE,1013084615680,271055084702,-91.97,-100.11
25690,POLL,1015417060352,273387528442,-92.52,-103.42
25690,POLL_ACK,274460195328,1016489818229,-91.13,-101.54
25690,RANGE,1021136980992,279107446941,-90.97,-102.84
25691,POLL,1023468419584,281438884584,-91.0,-102.71
25691,POLL_ACK,282512418304,1024542044379,-90.85,-100.88
25691,RANGE,1029186776576,287157239160,-91.18,-105.22
25692,POLL,1031519872000,289490333584,-92.8,-101.89
