Message num,Action,send,recived,RXPower,FPPower
1973,POLL,242263964160,168521933484,-81.59,-91.38
1973,POLL_ACK,169594858496,243336960332,-82.05,-91.82
1973,RANGE,247984081408,174242026238,-81.91,-92.06
1974,POLL,250315375104,176573309938,-81.94,-92.7
1974,POLL_ACK,177646183424,251388319744,-81.1,-91.0
1974,RANGE,256035477504,182293387844,-81.6,-91.73
1975,POLL,258366781440,184624681794,-82.18,-92.4
1975,POLL_ACK,185697497088,259439667886,-81.43,-90.92
1975,RANGE,264086893568,190344769428,-81.24,-91.82
1976,POLL,266418187264,192676053128,-81.85,-91.68
1976,POLL_ACK,193751984640,267494189945,-82.1,-92.3
1976,RANGE,272137980416,198395821766,-81.06,-90.86
1977,POLL,274469967360,200727798688,-81.75,-91.52
1977,POLL_ACK,201800893952,275543133790,-81.31,-91.44
1977,RANGE,280189740544,206447547335,-82.07,-92.35
1978,POLL,282520999424,208778796217,-81.66,-91.3
1978,POLL_ACK,209851451904,283593726276,-81.71,-91.31
1978,RANGE,288241048064,214498820324,-81.61,-91.68
1979,POLL,290572779520,216830541761,-82.2,-91.62
1979,POLL_ACK,217903467008,291645775936,-81.57,-91.29
1979,RANGE,296292375040,222550112727,-82.06,-92.34
1980,POLL,298623872512,224881600191,-81.69,-91.23
1980,POLL_ACK,225954919424,299697262915,-81.36,-91.95
1980,RANGE,304343604736,230601307852,-81.52,-91.88
1981,POLL,306675587072,232933280180,-82.21,-91.91
1981,POLL_ACK,234006239232,307748617285,-81.46,-91.29
1981,RANGE,312395199488,238652868054,-81.4,-92.15
1982,POLL,314726997504,240984656085,-82.05,-92.83
1982,POLL_ACK,242057495552,315799908125,-82.35,-92.62
1982,RANGE,320446583808,246704217864,-81.44,-91.75
1983,POLL,322778030080,249035654141,-81.88,-91.61
1983,POLL_ACK,250108873728,323851320828,-82.24,-91.2
1983,RANGE,328497437184,254755036741,-82.25,-92.08
1984,POLL,330829810176,257087399729,-82.07,-91.84
1984,POLL_ACK,258160269312,331902750926,-82.37,-92.72
1984,RANGE,336548774912,262806339929,-81.73,-92.0
1985,POLL,338880842240,265138397251,-81.4,-91.94
1985,POLL_ACK,266211371008,339953887169,-81.51,-90.97
1985,RANGE,344600193024,270857723483,-81.52,-91.03
1986,POLL,346932248576,273189769026,-81.89,-92.46
1986,POLL_ACK,274262774784,348005325496,-81.36,-91.05
1986,RANGE,352652345856,278909841742,-81.11,-91.9
1987,POLL,354983715328,281241201218,-82.11,-91.53
1987,POLL_ACK,282314223616,356056808903,-81.3,-91.26
1987,RANGE,360702724608,286960185928,-82.22,-92.25
1988,POLL,363035060736,289292512054,-81.59,-91.08
1988,POLL_ACK,290365415424,364108035281,-81.51,-91.3
1988,RANGE,368754411008,295011837758,-81.31,-91.37
1989,POLL,371086840320,297344257051,-81.6,-91.34
1989,POLL_ACK,298416863232,372159517667,-81.81,-91.0
1989,RANGE,376807647744,303065039888,-82.33,-92.62
1990,POLL,387189652480,313447000008,-81.5,-91.92
1990,POLL_ACK,314518222848,388260946478,-82.78,-93.3
1990,RANGE,392907768832,319165091780,-81.97,-92.15
1991,POLL,395240745472,321498058396,-81.42,-90.95
1991,POLL_ACK,322571264512,396314022769,-81.36,-90.83
1991,RANGE,400960713728,327218002045,-81.96,-91.98
1992,POLL,403292151808,329549430085,-82.36,-92.97
1992,POLL_ACK,330622184448,404364977339,-81.48,-90.99
1992,RANGE,409012189184,335269442860,-81.5,-90.92
1993,POLL,411343557632,337600801275,-81.72,-91.84
1993,POLL_ACK,338673695232,412416522766,-82.13,-92.31
1993,RANGE,417063478784,343320697804,-81.9,-92.18
1994,POLL,419395276800,345652485797,-81.4,-91.14
1994,POLL_ACK,346725998592,420468860785,-81.54,-91.02
1994,RANGE,425115264000,351372448367,-82.11,-91.43
1995,POLL,427446369792,353703544116,-82.16,-91.85
1995,POLL_ACK,354776088064,428518984920,-82.97,-92.09
1995,RANGE,433165635072,359422784768,-82.2,-92.29
1996,POLL,435498084352,361755224016,-81.26,-90.87
1996,POLL_ACK,362828375552,436571307070,-81.18,-91.25
1996,RANGE,441216390144,367473505160,-81.67,-91.96
1997,POLL,443549121536,369806226506,-81.47,-92.04
1997,POLL_ACK,370879322112,444622288317,-82.09,-91.96
1997,RANGE,449269022208,375526102540,-81.46,-92.37
1998,POLL,451600901120,377857971398,-81.16,-92.08
1998,POLL_ACK,378931272704,452674273610,-81.67,-91.94
1998,RANGE,457320561664,383577607296,-82.24,-92.39
1999,POLL,459651933696,385908969291,-82.55,-92.59
1999,POLL_ACK,386981896704,460724932299,-81.88,-91.26
1999,RANGE,465372035584,391629046514,-81.76,-91.37
